48,64,100,120,128,Pad Name,A,B1,B2,B3,B4,B5,B6,C,D,E,F,G,H,I,J,K,L,M,N
48,64/C6,100,B2,128,PB03,EIC/EXTINT[3],-,ADC0/AIN[15],-,-,-,X21/Y21,-,SERCOM5/PAD[1],TC6/WO[1],-,-,-,-,-,-,-,-,-
1,01/B8,1,A1,1,PA00,EIC/EXTINT[0],-,-,-,-,-,,-,SERCOM1/PAD[0],TC2/WO[0],-,-,-,-,-,-,-,-,-
2,02/C8,2,B1,2,PA01,EIC/EXTINT[1],-,-,-,-,-,,-,SERCOM1/PAD[1],TC2/WO[1],-,-,-,-,-,-,-,-,-
,,3,C1,3,PC00,EIC/EXTINT[0],-,-,ADC1/AIN[10],-,-,,-,-,-,-,-,-,-,-,-,-,-,-
,,4,C2,4,PC01,EIC/EXTINT[1],-,-,ADC1/AIN[11],-,-,,-,-,-,-,-,-,-,-,-,-,-,-
,,5,D1,7,PC02,EIC/EXTINT[2],-,-,ADC1/AIN[4],-,-,,-,-,-,-,-,-,-,-,-,-,-,-
,,6,E2,8,PC03,EIC/EXTINT[3],-,-,ADC1/AIN[5],-,-,,-,-,-,-,-,-,-,-,-,-,-,-
3,03/C7,7,E1,9,PA02,EIC/EXTINT[2],-,ADC0/AIN[0],-,-,DAC/VOUT[0],,-,-,-,-,-,-,-,-,-,-,-,-
4,04/D6,8,F2,10,PA03,EIC/EXTINT[3],ANAREF/VREFA,ADC0/AIN[1],-,-,-,X0/Y0,-,-,-,-,-,-,-,-,-,-,-,-
,05/D7,9,F1,11,PB04,EIC/EXTINT[4],-,-,ADC1/AIN[6],-,-,X22/Y22,-,-,-,-,-,-,-,-,-,-,-,-
,06/D8,10,G1,12,PB05,EIC/EXTINT[5],-,-,ADC1/AIN[7],-,-,X23/Y23,-,-,-,-,-,-,-,-,-,-,-,-
,,-,G2,13,PD00,EIC/EXTINT[0],-,-,ADC1/AIN[14],-,-,,-,-,-,-,-,-,-,-,-,-,-,-
,,-,H1,16,PD01,EIC/EXTINT[1],-,-,ADC1/AIN[15],-,-,,-,-,-,-,-,-,-,-,-,-,-,-
,09/E7,13,H2,17,PB06,EIC/EXTINT[6],-,-,ADC1/AIN[8],-,-,X24/Y24,-,-,-,-,-,-,-,-,-,-,-,CCL/IN[6]
,10/E6,14,J1,18,PB07,EIC/EXTINT[7],-,-,ADC1/AIN[9],-,-,X25/Y25,-,-,-,-,-,-,-,-,-,-,-,CCL/IN[7]
7,11/F5,15,J2,19,PB08,EIC/EXTINT[8],-,ADC0/AIN[2],ADC1/AIN[0],-,-,X1/Y1,-,SERCOM4/PAD[0],TC4/WO[0],-,-,-,-,-,-,-,-,CCL/IN[8]
8,12/F8,16,K1,20,PB09,EIC/EXTINT[9],-,ADC0/AIN[3],ADC1/AIN[1],-,-,X2/Y2,-,SERCOM4/PAD[1],TC4/WO[1],-,-,-,-,-,-,-,-,CCL/OUT[2]
9,13/F7,17,K2,21,PA04,EIC/EXTINT[4],ANAREF/VREFB,ADC0/AIN[4],-,AC/AIN[0],-,X3/Y3,-,SERCOM0/PAD[0],TC0/WO[0],-,-,-,-,-,-,-,-,CCL/IN[0]
